batch_id,model,effort,passed,tasks,raw_iq,total_tokens,input_tokens,cached_input_tokens,output_tokens,wall_seconds,cost_usd,weighted_score,anomaly,reliability_weight,provenance,source_url
2026-07-15-pm,gpt-5.6-sol,max,6,10,90,58800000,,,,15120,51.4,54.61,false,1.0,public_page_task_matrix_and_summary_rounded,https://codexradar.com/
2026-07-15-pm,gpt-5.6-sol,xhigh,7,10,105,33300000,,,,10080,32.6,62.50,false,1.0,public_page_task_matrix_and_summary_rounded,https://codexradar.com/
2026-07-15-pm,gpt-5.6-sol,high,7,10,105,24800000,,,,9360,25.0,64.44,false,1.0,public_page_task_matrix_and_summary_rounded,https://codexradar.com/
2026-07-15-pm,gpt-5.6-sol,medium,6,10,90,15300000,,,,5760,16.6,54.82,false,1.0,public_page_task_matrix_and_summary_rounded,https://codexradar.com/
2026-07-15-pm,gpt-5.6-sol,low,8,10,120,9900000,,,,3600,10.7,71.69,false,1.0,public_page_task_matrix_and_summary_rounded,https://codexradar.com/
2026-07-15-pm,gpt-5.6-terra,max,7,10,105,73500000,,,,16560,34.0,62.78,false,1.0,public_page_task_matrix_and_summary_rounded,https://codexradar.com/
2026-07-15-pm,gpt-5.6-terra,high,5,10,75,16700000,,,,7200,9.3,44.85,false,1.0,public_page_task_matrix_and_summary_rounded,https://codexradar.com/
2026-07-15-pm,gpt-5.6-luna,max,9,10,135,91000000,,,,14400,16.3,90.08,false,1.0,public_page_task_matrix_and_summary_rounded,https://codexradar.com/
2026-07-15-pm,gpt-5.6-luna,high,5,10,75,37400000,,,,7920,6.7,41.40,false,1.0,public_page_task_matrix_and_summary_rounded,https://codexradar.com/
